score,quote,cover,title,rank,comment_num
8.9,带着心爱的人在天空飞翔。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2174346180.jpg,哈尔的移动城堡,44,352422
9.1,优雅的孤独。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2194138787.jpg,教父2,45,188379
9.6,比利·怀德满分作品。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1505392928.jpg,控方证人,46,89120
8.9,爱是一切逻辑和原由。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1665997400.jpg,美丽心灵,47,307086
8.9,承前启后的史诗篇章。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p909265336.jpg,指环王2：双塔奇兵,48,272444
8.9,传说的开始。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1354436051.jpg,指环王1：魔戒再现,49,304473
8.9,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910824340.jpg,死亡诗社,50,279634
8.8,暗恋的极致。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p449897379.jpg,情书,51,377006
9.1,电影的现实意义大过电影本身。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2158166535.jpg,辩护人,52,204919
8.7,法式小清新。 ,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p803896904.jpg,天使爱美丽,53,484362
9.1,往事如烟，无处祭奠。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p477229647.jpg,美国往事,54,175452
9.0,人生不能像做菜，把所有的料都准备好了才下锅。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910899751.jpg,饮食男女,55,198256
9.0,音乐能化解仇恨。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792484461.jpg,钢琴家,56,203666
8.9,动物版《哈姆雷特》。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2277799019.jpg,狮子王,57,282451
8.7,警察抓小偷，老鼠玩死猫。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p457631605.jpg,七宗罪,58,436595
8.8,孪生蝙蝠侠大战克隆金刚狼。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p480383375.jpg,致命魔术,59,344240
8.9,以戏谑来戏谑戏谑。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p453723669.jpg,被嫌弃的松子的一生,60,283133
9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2315672647.jpg,疯狂动物城,61,497876
9.2,奔跑的孩子是天使。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173580603.jpg,小鞋子,62,136938
8.8,史诗大片的典范。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1374546770.jpg,勇敢的心,63,295870
8.7,浪漫忧郁的成人童话。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p480956937.jpg,剪刀手爱德华,64,484394
8.9,用音乐化解仇恨，让歌声串起美好。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p453788577.jpg,音乐之声,65,231994
8.8,故事的高级讲法。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910902213.jpg,低俗小说,66,334313
9.1,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2118532944.jpg,素媛,67,176672
8.7,在时间之河里感受溺水之苦。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2192535722.jpg,本杰明·巴顿奇事,68,393073
8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p594972928.jpg,入殓师,69,318568
8.7,安东尼·霍普金斯的顶级表演。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1593414327.jpg,沉默的羔羊,70,352757
8.8,视觉革命。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910908765.jpg,黑客帝国,71,280197
8.8,美利坚精神输出大片No1.,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1014542496.jpg,拯救大兵瑞恩,72,236844
8.7,美丽无罪。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792400696.jpg,西西里的美丽传说,73,346274
8.9,你是我最好的朋友，你是我唯一的朋友 。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1820615077.jpg,玛丽和马克思,74,232085
8.7,人的命运被自己瞬间的抉择改变。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2209066019.jpg,蝴蝶效应,75,380642
8.8,爱情纠缠，男女一致。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p465939041.jpg,春光乍泄,76,244398
8.7,人生中应该拥有这样的一段豁然开朗。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p480965695.jpg,心灵捕手,77,269128
8.7,你给我翻译翻译，神马叫做TMD的惊喜。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1512562287.jpg,让子弹飞,78,619915
8.8,人与自然的战争史诗。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1613191025.jpg,幽灵公主,79,233526
9.2,经典之作，历久弥新。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2184505167.jpg,大闹天宫,80,97679
8.8,深入内心的恐怖，出人意料的结局。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2220184425.jpg,第六感,81,233732
8.7,一场华丽的意淫。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p967457079.jpg,阳光灿烂的日子,82,268485
8.6,寂寞没有期限。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2242058421.jpg,重庆森林,83,327223
8.7,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p692813374.jpg,大鱼,84,250671
8.7,百看不厌。 ,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1993903133.jpg,射雕英雄传之东成西就,85,273970
8.6,昔日翩翩少年，今日大腹便便。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1832875827.jpg,禁闭岛,86,356220
8.7,相逢只要一瞬间，等待却像是一辈子。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2223011274.jpg,甜蜜蜜,87,230972
8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1374786017.jpg,阳光姐妹淘,88,266201
8.9,被上帝抛弃了的上帝之城。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p455677490.jpg,上帝之城,89,157166
8.6,最不可能的那个人永远是最可能的。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p453720880.jpg,致命ID,90,315539
8.9,我们都曾经是一一。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2119675128.jpg,一一,91,154461
9.0,人言可畏。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1546987967.jpg,狩猎,92,125394
8.7,没有一人完全善，也没有一人完全恶。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p689520756.jpg,告白,93,339105
8.9,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p452088641.jpg,末代皇帝,94,161964
